id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
7333,861999,120000,7,16,1,1,0,0,16,2179,140,7,1,0
7334,850000,120000,18,4,1,1,1,2,17,2650,80.84,7,3,0
7335,980000,120000,6,5,1,1,1,2,15.1,2179,140,7,3,0
7336,500000,120000,27,3,1,1,1,0,13.1,2499,141,7,1,0
7337,300000,120000,15,11,1,1,1,2,11.57,2179,138.1,7,5,0
7338,135000,120000,1,7,1,1,1,4,15.42,1405,70,7,2,0
7339,1050000,120000,22,4,1,1,1,2,15.1,2179,140,7,3,0
7340,670000,120000,11,15,1,1,1,0,24.2,1498,98.6,7,0,0
7341,415000,120000,18,4,1,1,1,2,21.04,1461,83.8,7,3,0
7342,800000,120000,15,11,1,1,1,2,15.1,2179,140,7,5,0
7343,525000,120000,1,7,1,1,1,0,15.1,2179,140,7,2,0
7344,1025000,120000,24,0,1,1,0,4,12.07,2967,241.4,7,3,0
7345,380000,120000,8,17,1,1,1,2,12.05,2179,120,7,4,0
7346,475000,120000,2,12,1,1,1,0,12.05,2179,120,7,3,0
7347,200000,120000,17,9,1,1,1,2,13.93,2956,138.1,7,4,0
7348,600000,120000,5,10,1,1,1,4,20.77,1248,88.8,7,4,0
7349,490000,120000,13,2,1,1,1,0,24.2,1498,98.6,7,2,0
7350,710000,120000,0,7,1,1,1,0,18.49,1493,100,7,2,0
7351,450000,120000,12,1,1,1,1,2,20.77,1248,88.76,7,1,0
7352,320000,120000,9,4,1,1,1,0,14.95,2489,93.7,7,3,0
7353,790000,120000,8,17,1,1,1,0,24.52,1248,88.5,7,4,0
7354,430000,120000,20,14,1,1,1,0,15.96,2523,62.1,7,0,0
7355,680000,120000,27,3,1,1,1,0,15.1,2179,140,7,1,0
7356,1300000,120000,28,12,1,1,1,0,12.99,2494,100.6,7,3,0
7357,300000,120000,8,17,1,1,1,0,14,2498,112,7,4,0
7358,500000,120000,21,6,1,1,1,0,18.49,1493,100,7,0,0
7359,675000,120000,21,6,1,1,1,0,12.05,2179,120,7,0,0
7360,450000,120000,9,4,1,1,1,0,15.96,2523,62.1,7,3,0
7361,1950000,120000,9,4,1,1,1,0,13.5,2477,175.56,7,3,0
7362,250000,120000,10,2,1,1,1,0,15.42,1405,70,7,2,0
